mode,seed,episode_idx,success,final_distance,length,return,tau_effort,tau_sum_total,energy,target_radius,torque_sat1_count,torque_sat2_count,torque_sat_any_count,torque_sat1_rate,torque_sat2_rate,torque_sat_any_rate,step,theta1,theta2,target_x,target_y,action0,action1,distance,tau1,tau2,tau_sum,omega1,omega2,power,cumulative_energy,tip_x,tip_y,sat1,sat2,sat_any,reward,done
pirl,2,7,0,0.5088033615195725,200,-124.04638576446035,0.3276229871940767,65.52459743881533,0.44872620693984244,0.37775400341661713,1,0,1,0.005,0.0,0.005,0,0.0,0.0,0.24755188822746277,0.28533515334129333,0.0,0.0,0.804732446619593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,False,False,0.0,False
pirl,2,7,0,0.5088033615195725,200,-124.04638576446035,0.3276229871940767,65.52459743881533,0.44872620693984244,0.37775400341661713,1,0,1,0.005,0.0,0.005,1,0.0,0.0,0.24755188822746277,0.28533515334129333,0.10000000149011612,0.10000000149011612,0.8004684894077775,20.0,3.1105159320256677,23.110515932025667,1.6857737576570138,2.400000035762787,41.18071350124259,0.17158630625517746,0.9999152421951294,0.012023617513477802,True,False,True,-0.812165168736548,False
pirl,2,7,0,0.5088033615195725,200,-124.04638576446035,0.3276229871940767,65.52459743881533,0.44872620693984244,0.37775400341661713,1,0,1,0.005,0.0,0.005,2,0.00702405720949173,0.009999999776482582,0.24755188822746277,0.28533515334129333,0.10000000149011612,0.10000000149011612,0.7951609588972322,7.70733011086543,0.5461881733495724,8.253518284215003,2.400000035762787,2.399748214650084,19.808306635571267,0.2541209172367244,0.9995849132537842,0.027018895372748375,False,False,False,-0.7994291394020973,False
pirl,2,7,0,0.5088033615195725,200,-124.04638576446035,0.3276229871940767,65.52459743881533,0.44872620693984244,0.37775400341661713,1,0,1,0.005,0.0,0.005,3,0.017024056985974312,0.019998950883746147,0.24755188822746277,0.28533515334129333,0.10000000149011612,0.10000000149011612,0.7898672692649787,0.012964453801222048,0.003658842271611695,0.01662329607283374,2.4000000357627864,2.39991467952911,0.039895598864300455,0.254287148898659,0.9990047216415405,0.04200625792145729,False,False,False,-0.7900170022757728,False
pirl,2,7,0,0.5088033615195725,200,-124.04638576446035,0.3276229871940767,65.52459743881533,0.44872620693984244,0.37775400341661713,1,0,1,0.005,0.0,0.005,4,0.027024056762456894,0.029998594895005226,0.24755188822746277,0.28533515334129333,0.10000000149011612,0.10000000149011612,0.7845894870577628,0.012838578235293366,0.003532966705674115,0.01637154494096748,2.400000035762787,2.3999155082770383,0.03929140981102116,0.2544508631062049,0.9981749653816223,0.05698089301586151,False,False,False,-0.7847390941929909,False
pirl,2,7,0,0.5088033615195725,200,-124.04638576446035,0.3276229871940767,65.52459743881533,0.44872620693984244,0.37775400341661713,1,0,1,0.005,0.0,0.005,5,0.037024058401584625,0.03999824449419975,0.24755188822746277,0.28533515334129333,0.10000000149011612,0.10000000149011612,0.7793294118096924,0.012837951561884416,0.0035323400322740633,0.016370291594158478,2.4000000357627864,2.399915512402972,0.03928840184618006,0.254614564780564,0.9970958232879639,0.07193826884031296,False,False,False,-0.7794790183182471,False
pirl,2,7,0,0.5088033615195725,200,-124.04638576446035,0.3276229871940767,65.52459743881533,0.44872620693984244,0.37775400341661713,1,0,1,0.005,0.0,0.005,6,0.04702405631542206,0.04999789223074913,0.24755188822746277,0.28533515334129333,0.10000000149011612,0.10000000149011612,0.7740889916093248,0.012837948441991012,0.0035323369123717585,0.01637028535436277,2.400000035762787,2.3999155124235125,0.0392883868710064,0.25477826639252654,0.9957677125930786,0.08687393367290497,False,False,False,-0.7742385981147596,False
pirl,2,7,0,0.5088033615195725,200,-124.04638576446035,0.3276229871940767,65.52459743881533,0.44872620693984244,0.37775400341661713,1,0,1,0.005,0.0,0.005,7,0.05702405795454979,0.05999753996729851,0.24755188822746277,0.28533515334129333,0.10000000149011612,0.10000000149011612,0.7688701345335136,0.012837948426449189,0.003532336896838834,0.016370285323288023,2.4000000357627864,2.3999155124236147,0.03928838679642867,0.25494196800417834,0.99419105052948,0.1017833799123764,False,False,False,-0.7690197410389329,False
pirl,2,7,0,0.5088033615195725,200,-124.04638576446035,0.3276229871940767,65.52459743881533,0.44872620693984244,0.37775400341661713,1,0,1,0.005,0.0,0.005,8,0.06702405959367752,0.06999718397855759,0.24755188822746277,0.28533515334129333,0.10000000149011612,0.10000000149011612,0.7636747273960719,0.012837948426382013,0.0035323368967627635,0.016370285323144777,2.400000035762787,2.3999155124236156,0.039288386796084894,0.2551056696158287,0.9923663139343262,0.11666218936443329,False,False,False,-0.7638243339014911,False
pirl,2,7,0,0.5088033615195725,200,-124.04638576446035,0.3276229871940767,65.52459743881533,0.44872620693984244,0.37775400341661713,1,0,1,0.005,0.0,0.005,9,0.07702405750751495,0.07999683171510696,0.24755188822746277,0.28533515334129333,0.10000000149011612,0.10000000149011612,0.7585049109341913,0.012837948426371815,0.0035323368967614625,0.016370285323133275,2.4000000357627864,2.399915512423616,0.0392883867960573,0.25526937122747895,0.9902942776679993,0.13150586187839508,False,False,False,-0.7586545174396104,False
